date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:23	27361/27361	---MC-	200	added ('OK')	image/png	etag:%224022bdd-6ae1-5742152c5d73d%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/text8720.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/text8720.png	(from https://www.coloris.com.mx/)
21:26:23	503085/503085	---MC-	200	added ('OK')	image/jpeg	etag:%224022ba8-7ad2d-574090c78ff96%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/bg8720.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/bg8720.jpg	(from https://www.coloris.com.mx/)
21:26:23	192653/192653	---MC-	200	added ('OK')	image/png	etag:%224022b6d-2f08d-574090b4e1dc1%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/720.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/720.png	(from https://www.coloris.com.mx/)
21:26:24	24302/24302	---MC-	200	added ('OK')	image/png	etag:%224022b62-5eee-574090b2271c2%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/521text.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/521text.png	(from https://www.coloris.com.mx/)
21:26:24	355369/355369	---MC-	200	added ('OK')	image/jpeg	etag:%224022b95-56c29-574090c39043a%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/bg521.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/bg521.jpg	(from https://www.coloris.com.mx/)
21:26:24	92388/92388	---MC-	200	added ('OK')	image/png	etag:%224022b55-168e4-574090ae3d5f9%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/521.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/521.png	(from https://www.coloris.com.mx/)
21:26:25	298136/298136	---MC-	200	added ('OK')	image/jpeg	etag:%224022b82-48c98-574090bec7608%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/bg477.jpg	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/bg477.jpg	(from https://www.coloris.com.mx/)
21:26:26	127855/127855	---MC-	200	added ('OK')	image/png	etag:%224022b3d-1f36f-5740909be4776%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/477.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/477.png	(from https://www.coloris.com.mx/)
21:26:26	22007/22007	---MC-	200	added ('OK')	image/png	etag:%224022bea-55f7-574215819b50b%22	https://www.coloris.com.mx/wp-content/uploads/2018/08/text477.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2018/08/text477.png	(from https://www.coloris.com.mx/)
21:26:26	87634/87634	---MC-	200	added ('OK')	image/png	etag:%224021554-15652-572ee7e7cd135%22	https://www.coloris.com.mx/wp-content/uploads/2017/11/equipos.png	C:/Mis%20lugares%20Web/prueba/www.coloris.com.mx/wp-content/uploads/2017/11/equipos.png	(from https://www.coloris.com.mx/)
